AddressofRecordZIPCode,SnapshotDate,PrimaryAreaOfPractice,CountOfLicensees
90670,6/1/2019,General Surgery,0
90670,6/1/2019,Dermatology,0
90670,6/1/2019,Gastroenterology,0
90670,6/1/2019,General Practice,0
90670,6/1/2019,Neurology,1
90670,6/1/2019,Oncology,0
90670,6/1/2019,Otolaryngology,0
90670,6/1/2019,Urology,0
90670,6/1/2019,Plastic Surgery,0
90670,6/1/2019,Nephrology,0
90670,6/1/2019,Pulmonary,0
90670,6/1/2019,Physical Medicine and Rehabilitation,0
90670,6/1/2019,Infectious Disease,0
90670,6/1/2019,Endocrinology,1
90670,6/1/2019,All Other Specialties,3
90670,6/1/2019,No Response,1
90680,6/1/2019,Internal Medicine,1
90680,6/1/2019,Family Medicine,2
90680,6/1/2019,Pediatrics,0
90680,6/1/2019,Psychiatry,0
90680,6/1/2019,Anesthesiology,0
90680,6/1/2019,Radiology,0
90680,6/1/2019,Emergency Medicine,0
90680,6/1/2019,Obstetrics and Gynecology,0
90680,6/1/2019,Cardiology,0
90680,6/1/2019,Orthopedic Surgery,0
90680,6/1/2019,Ophthalmology,0
90680,6/1/2019,Pathology,1
90680,6/1/2019,General Surgery,0
90680,6/1/2019,Dermatology,0
90680,6/1/2019,Gastroenterology,0
90680,6/1/2019,General Practice,0
90680,6/1/2019,Neurology,0
90680,6/1/2019,Oncology,0
90680,6/1/2019,Otolaryngology,0
90680,6/1/2019,Urology,0
90680,6/1/2019,Plastic Surgery,0
90680,6/1/2019,Nephrology,0
90680,6/1/2019,Pulmonary,0
90680,6/1/2019,Physical Medicine and Rehabilitation,0
90680,6/1/2019,Infectious Disease,0
90680,6/1/2019,Endocrinology,0
90680,6/1/2019,All Other Specialties,0
90680,6/1/2019,No Response,0
90701,6/1/2019,Internal Medicine,4
90701,6/1/2019,Family Medicine,3
90701,6/1/2019,Pediatrics,2
90701,6/1/2019,Psychiatry,0
90701,6/1/2019,Anesthesiology,1
90701,6/1/2019,Radiology,1
90701,6/1/2019,Emergency Medicine,0
90701,6/1/2019,Obstetrics and Gynecology,0
90701,6/1/2019,Cardiology,0
90701,6/1/2019,Orthopedic Surgery,0
90701,6/1/2019,Ophthalmology,1
90701,6/1/2019,Pathology,0
90701,6/1/2019,General Surgery,0
90701,6/1/2019,Dermatology,0
90701,6/1/2019,Gastroenterology,0
90701,6/1/2019,General Practice,1
90701,6/1/2019,Neurology,0
90701,6/1/2019,Oncology,0
90701,6/1/2019,Otolaryngology,0
90701,6/1/2019,Urology,0
90701,6/1/2019,Plastic Surgery,0
90701,6/1/2019,Nephrology,1
90701,6/1/2019,Pulmonary,0
90701,6/1/2019,Physical Medicine and Rehabilitation,0
90701,6/1/2019,Infectious Disease,0
90701,6/1/2019,Endocrinology,0
90701,6/1/2019,All Other Specialties,4
90701,6/1/2019,No Response,3
90702,6/1/2019,Internal Medicine,5
90702,6/1/2019,Family Medicine,1
90702,6/1/2019,Pediatrics,2
90702,6/1/2019,Psychiatry,1
90702,6/1/2019,Anesthesiology,0
90702,6/1/2019,Radiology,1
90702,6/1/2019,Emergency Medicine,0
90702,6/1/2019,Obstetrics and Gynecology,1
90702,6/1/2019,Cardiology,0
90702,6/1/2019,Orthopedic Surgery,0
90702,6/1/2019,Ophthalmology,0
90702,6/1/2019,Pathology,0
90702,6/1/2019,General Surgery,0
90702,6/1/2019,Dermatology,0
90702,6/1/2019,Gastroenterology,0
90702,6/1/2019,General Practice,0
90702,6/1/2019,Neurology,0
90702,6/1/2019,Oncology,0
90702,6/1/2019,Otolaryngology,0
90702,6/1/2019,Urology,0
90702,6/1/2019,Plastic Surgery,0
90702,6/1/2019,Nephrology,0
90702,6/1/2019,Pulmonary,0
90702,6/1/2019,Physical Medicine and Rehabilitation,0
90702,6/1/2019,Infectious Disease,0
90702,6/1/2019,Endocrinology,0
90702,6/1/2019,All Other Specialties,0
90702,6/1/2019,No Response,4
90703,6/1/2019,Internal Medicine,41
90703,6/1/2019,Family Medicine,24
90703,6/1/2019,Pediatrics,20
90703,6/1/2019,Psychiatry,10
90703,6/1/2019,Anesthesiology,12
90703,6/1/2019,Radiology,1
90703,6/1/2019,Emergency Medicine,3
90703,6/1/2019,Obstetrics and Gynecology,5
90703,6/1/2019,Cardiology,1
90703,6/1/2019,Orthopedic Surgery,2
90703,6/1/2019,Ophthalmology,3
90703,6/1/2019,Pathology,1
90703,6/1/2019,General Surgery,1
90703,6/1/2019,Dermatology,1
90703,6/1/2019,Gastroenterology,1
90703,6/1/2019,General Practice,7
90703,6/1/2019,Neurology,0
90703,6/1/2019,Oncology,5
90703,6/1/2019,Otolaryngology,1
90703,6/1/2019,Urology,0
90703,6/1/2019,Plastic Surgery,0
90703,6/1/2019,Nephrology,1
90703,6/1/2019,Pulmonary,1
90703,6/1/2019,Physical Medicine and Rehabilitation,0
90703,6/1/2019,Infectious Disease,2
90703,6/1/2019,Endocrinology,1
90703,6/1/2019,All Other Specialties,23
90703,6/1/2019,No Response,47
90704,6/1/2019,Internal Medicine,0
90704,6/1/2019,Family Medicine,0
90704,6/1/2019,Pediatrics,0
90704,6/1/2019,Psychiatry,1
90704,6/1/2019,Anesthesiology,0
90704,6/1/2019,Radiology,0
90704,6/1/2019,Emergency Medicine,0
90704,6/1/2019,Obstetrics and Gynecology,0
90704,6/1/2019,Cardiology,0
90704,6/1/2019,Orthopedic Surgery,0
90704,6/1/2019,Ophthalmology,0
90704,6/1/2019,Pathology,0
90704,6/1/2019,General Surgery,0
90704,6/1/2019,Dermatology,0
90704,6/1/2019,Gastroenterology,0
90704,6/1/2019,General Practice,0
90704,6/1/2019,Neurology,0
90704,6/1/2019,Oncology,0
90704,6/1/2019,Otolaryngology,0
90704,6/1/2019,Urology,0
90704,6/1/2019,Plastic Surgery,0
90704,6/1/2019,Nephrology,0
90704,6/1/2019,Pulmonary,0
90704,6/1/2019,Physical Medicine and Rehabilitation,0
90704,6/1/2019,Infectious Disease,0
90704,6/1/2019,Endocrinology,0
90704,6/1/2019,All Other Specialties,0
90704,6/1/2019,No Response,2
90706,6/1/2019,Internal Medicine,10
90706,6/1/2019,Family Medicine,15
90706,6/1/2019,Pediatrics,20
90706,6/1/2019,Psychiatry,4
90706,6/1/2019,Anesthesiology,4
90706,6/1/2019,Radiology,0
90706,6/1/2019,Emergency Medicine,1
90706,6/1/2019,Obstetrics and Gynecology,4
90706,6/1/2019,Cardiology,3
90706,6/1/2019,Orthopedic Surgery,2
90706,6/1/2019,Ophthalmology,1
90706,6/1/2019,Pathology,0
90706,6/1/2019,General Surgery,1
90706,6/1/2019,Dermatology,0
90706,6/1/2019,Gastroenterology,1
90706,6/1/2019,General Practice,1
90706,6/1/2019,Neurology,1
90706,6/1/2019,Oncology,6
90706,6/1/2019,Otolaryngology,1
90706,6/1/2019,Urology,0
90706,6/1/2019,Plastic Surgery,1
90706,6/1/2019,Nephrology,0
90706,6/1/2019,Pulmonary,0
90706,6/1/2019,Physical Medicine and Rehabilitation,0
90706,6/1/2019,Infectious Disease,0
90706,6/1/2019,Endocrinology,0
90706,6/1/2019,All Other Specialties,7
90706,6/1/2019,No Response,12
90707,6/1/2019,Internal Medicine,0
90707,6/1/2019,Family Medicine,0
90707,6/1/2019,Pediatrics,0
90707,6/1/2019,Psychiatry,0
90707,6/1/2019,Anesthesiology,1
90707,6/1/2019,Radiology,0
90707,6/1/2019,Emergency Medicine,0
90707,6/1/2019,Obstetrics and Gynecology,0
90707,6/1/2019,Cardiology,0
90707,6/1/2019,Orthopedic Surgery,0
90707,6/1/2019,Ophthalmology,0
90707,6/1/2019,Pathology,0
90707,6/1/2019,General Surgery,0
90707,6/1/2019,Dermatology,0
90707,6/1/2019,Gastroenterology,0
90707,6/1/2019,General Practice,1
90707,6/1/2019,Neurology,0
90707,6/1/2019,Oncology,0
90707,6/1/2019,Otolaryngology,0
90707,6/1/2019,Urology,0
90707,6/1/2019,Plastic Surgery,0
90707,6/1/2019,Nephrology,0
90707,6/1/2019,Pulmonary,0
90707,6/1/2019,Physical Medicine and Rehabilitation,0
90707,6/1/2019,Infectious Disease,0
90707,6/1/2019,Endocrinology,0
90707,6/1/2019,All Other Specialties,0
90707,6/1/2019,No Response,0
90710,6/1/2019,Internal Medicine,49
90710,6/1/2019,Family Medicine,31
90710,6/1/2019,Pediatrics,15
90710,6/1/2019,Psychiatry,2
90710,6/1/2019,Anesthesiology,16
90710,6/1/2019,Radiology,17
90710,6/1/2019,Emergency Medicine,17
90710,6/1/2019,Obstetrics and Gynecology,17
90710,6/1/2019,Cardiology,8
90710,6/1/2019,Orthopedic Surgery,9
90710,6/1/2019,Ophthalmology,8
90710,6/1/2019,Pathology,5
90710,6/1/2019,General Surgery,5
90710,6/1/2019,Dermatology,0
90710,6/1/2019,Gastroenterology,11
90710,6/1/2019,General Practice,0
90710,6/1/2019,Neurology,3
90710,6/1/2019,Oncology,6
90710,6/1/2019,Otolaryngology,6
90710,6/1/2019,Urology,4
90710,6/1/2019,Plastic Surgery,1
90710,6/1/2019,Nephrology,6
90710,6/1/2019,Pulmonary,6
90710,6/1/2019,Physical Medicine and Rehabilitation,4
90710,6/1/2019,Infectious Disease,4
90710,6/1/2019,Endocrinology,4
90710,6/1/2019,All Other Specialties,16
90710,6/1/2019,No Response,50
90711,6/1/2019,Internal Medicine,0
90711,6/1/2019,Family Medicine,0
90711,6/1/2019,Pediatrics,2
90711,6/1/2019,Psychiatry,0
90711,6/1/2019,Anesthesiology,0
90711,6/1/2019,Radiology,0
90711,6/1/2019,Emergency Medicine,0
90711,6/1/2019,Obstetrics and Gynecology,0
90711,6/1/2019,Cardiology,0
90711,6/1/2019,Orthopedic Surgery,0
90711,6/1/2019,Ophthalmology,0
90711,6/1/2019,Pathology,0
90711,6/1/2019,General Surgery,0
90711,6/1/2019,Dermatology,0
90711,6/1/2019,Gastroenterology,0
90711,6/1/2019,General Practice,0
90711,6/1/2019,Neurology,0
90711,6/1/2019,Oncology,0
90711,6/1/2019,Otolaryngology,0
90711,6/1/2019,Urology,0
90711,6/1/2019,Plastic Surgery,0
90711,6/1/2019,Nephrology,0
90711,6/1/2019,Pulmonary,0
90711,6/1/2019,Physical Medicine and Rehabilitation,0
90711,6/1/2019,Infectious Disease,0
90711,6/1/2019,Endocrinology,0
90711,6/1/2019,All Other Specialties,0
90711,6/1/2019,No Response,0
90712,6/1/2019,Internal Medicine,13
90712,6/1/2019,Family Medicine,4
90712,6/1/2019,Pediatrics,5
90712,6/1/2019,Psychiatry,9
90712,6/1/2019,Anesthesiology,0
90712,6/1/2019,Radiology,0
90712,6/1/2019,Emergency Medicine,2
90712,6/1/2019,Obstetrics and Gynecology,3
90712,6/1/2019,Cardiology,6
90712,6/1/2019,Orthopedic Surgery,2
90712,6/1/2019,Ophthalmology,1
90712,6/1/2019,Pathology,0
90712,6/1/2019,General Surgery,0
90712,6/1/2019,Dermatology,2
90712,6/1/2019,Gastroenterology,4
90712,6/1/2019,General Practice,2
90712,6/1/2019,Neurology,0
90712,6/1/2019,Oncology,2
90712,6/1/2019,Otolaryngology,1
90712,6/1/2019,Urology,2
90712,6/1/2019,Plastic Surgery,0
90712,6/1/2019,Nephrology,0
90712,6/1/2019,Pulmonary,3
90712,6/1/2019,Physical Medicine and Rehabilitation,0
90712,6/1/2019,Infectious Disease,0
90712,6/1/2019,Endocrinology,0
90712,6/1/2019,All Other Specialties,6
90712,6/1/2019,No Response,13
90713,6/1/2019,Internal Medicine,0
90713,6/1/2019,Family Medicine,0
90713,6/1/2019,Pediatrics,0
90713,6/1/2019,Psychiatry,0
90713,6/1/2019,Anesthesiology,0
90713,6/1/2019,Radiology,0
90713,6/1/2019,Emergency Medicine,0
90713,6/1/2019,Obstetrics and Gynecology,0
90713,6/1/2019,Cardiology,0
90713,6/1/2019,Orthopedic Surgery,0
90713,6/1/2019,Ophthalmology,0
90713,6/1/2019,Pathology,0
90713,6/1/2019,General Surgery,0
90713,6/1/2019,Dermatology,0
90713,6/1/2019,Gastroenterology,0
90713,6/1/2019,General Practice,1
90713,6/1/2019,Neurology,0
90713,6/1/2019,Oncology,0
90713,6/1/2019,Otolaryngology,0
90713,6/1/2019,Urology,0
90713,6/1/2019,Plastic Surgery,0
90713,6/1/2019,Nephrology,0
90713,6/1/2019,Pulmonary,0
90713,6/1/2019,Physical Medicine and Rehabilitation,0
90713,6/1/2019,Infectious Disease,0
90713,6/1/2019,Endocrinology,0
90713,6/1/2019,All Other Specialties,1
90713,6/1/2019,No Response,0
90714,6/1/2019,Internal Medicine,0
90714,6/1/2019,Family Medicine,0
90714,6/1/2019,Pediatrics,1
90714,6/1/2019,Psychiatry,0
90714,6/1/2019,Anesthesiology,0
90714,6/1/2019,Radiology,0
90714,6/1/2019,Emergency Medicine,1
90714,6/1/2019,Obstetrics and Gynecology,0
90714,6/1/2019,Cardiology,0
90714,6/1/2019,Orthopedic Surgery,0
90714,6/1/2019,Ophthalmology,0
90714,6/1/2019,Pathology,1
90714,6/1/2019,General Surgery,0
90714,6/1/2019,Dermatology,0
90714,6/1/2019,Gastroenterology,0
90714,6/1/2019,General Practice,0
90714,6/1/2019,Neurology,0
90714,6/1/2019,Oncology,0
90714,6/1/2019,Otolaryngology,0
90714,6/1/2019,Urology,0
90714,6/1/2019,Plastic Surgery,0
90714,6/1/2019,Nephrology,0
90714,6/1/2019,Pulmonary,0
90714,6/1/2019,Physical Medicine and Rehabilitation,0
90714,6/1/2019,Infectious Disease,0
90714,6/1/2019,Endocrinology,0
90714,6/1/2019,All Other Specialties,0
90714,6/1/2019,No Response,1
90715,6/1/2019,Internal Medicine,0
90715,6/1/2019,Family Medicine,1
90715,6/1/2019,Pediatrics,0
90715,6/1/2019,Psychiatry,0
90715,6/1/2019,Anesthesiology,1
90715,6/1/2019,Radiology,1
90715,6/1/2019,Emergency Medicine,1
90715,6/1/2019,Obstetrics and Gynecology,0
90715,6/1/2019,Cardiology,0
90715,6/1/2019,Orthopedic Surgery,0
90715,6/1/2019,Ophthalmology,0
90715,6/1/2019,Pathology,0
90715,6/1/2019,General Surgery,0
90715,6/1/2019,Dermatology,0
90715,6/1/2019,Gastroenterology,0
90715,6/1/2019,General Practice,0
90715,6/1/2019,Neurology,0
90715,6/1/2019,Oncology,0
90715,6/1/2019,Otolaryngology,0
90715,6/1/2019,Urology,0
90715,6/1/2019,Plastic Surgery,0
90715,6/1/2019,Nephrology,0
90715,6/1/2019,Pulmonary,0
90715,6/1/2019,Physical Medicine and Rehabilitation,0
90715,6/1/2019,Infectious Disease,0
90715,6/1/2019,Endocrinology,0
90715,6/1/2019,All Other Specialties,0
90715,6/1/2019,No Response,0
90716,6/1/2019,Internal Medicine,0
90716,6/1/2019,Family Medicine,1
90716,6/1/2019,Pediatrics,0
90716,6/1/2019,Psychiatry,0
90716,6/1/2019,Anesthesiology,0
90716,6/1/2019,Radiology,0
90716,6/1/2019,Emergency Medicine,0
90716,6/1/2019,Obstetrics and Gynecology,0
90716,6/1/2019,Cardiology,0
90716,6/1/2019,Orthopedic Surgery,1
90716,6/1/2019,Ophthalmology,0
90716,6/1/2019,Pathology,0
90716,6/1/2019,General Surgery,0
90716,6/1/2019,Dermatology,0
90716,6/1/2019,Gastroenterology,0
90716,6/1/2019,General Practice,1
90716,6/1/2019,Neurology,0
90716,6/1/2019,Oncology,0
90716,6/1/2019,Otolaryngology,0
90716,6/1/2019,Urology,0
90716,6/1/2019,Plastic Surgery,0
90716,6/1/2019,Nephrology,0
90716,6/1/2019,Pulmonary,0
90716,6/1/2019,Physical Medicine and Rehabilitation,0
90716,6/1/2019,Infectious Disease,0
90716,6/1/2019,Endocrinology,0
90716,6/1/2019,All Other Specialties,1
90716,6/1/2019,No Response,1
90717,6/1/2019,Internal Medicine,7
90717,6/1/2019,Family Medicine,1
90717,6/1/2019,Pediatrics,4
90717,6/1/2019,Psychiatry,13
90717,6/1/2019,Anesthesiology,1
90717,6/1/2019,Radiology,0
90717,6/1/2019,Emergency Medicine,0
90717,6/1/2019,Obstetrics and Gynecology,0
90717,6/1/2019,Cardiology,1
90717,6/1/2019,Orthopedic Surgery,0
90717,6/1/2019,Ophthalmology,0
90717,6/1/2019,Pathology,2
90717,6/1/2019,General Surgery,1
90717,6/1/2019,Dermatology,0
90717,6/1/2019,Gastroenterology,0
90717,6/1/2019,General Practice,0
90717,6/1/2019,Neurology,0
90717,6/1/2019,Oncology,0
90717,6/1/2019,Otolaryngology,0
90717,6/1/2019,Urology,0
90717,6/1/2019,Plastic Surgery,0
90717,6/1/2019,Nephrology,0
90717,6/1/2019,Pulmonary,0
90717,6/1/2019,Physical Medicine and Rehabilitation,0
90717,6/1/2019,Infectious Disease,0
90717,6/1/2019,Endocrinology,0
90717,6/1/2019,All Other Specialties,1
90717,6/1/2019,No Response,3
90720,6/1/2019,Internal Medicine,30
90720,6/1/2019,Family Medicine,12
90720,6/1/2019,Pediatrics,17
90720,6/1/2019,Psychiatry,5
90720,6/1/2019,Anesthesiology,7
90720,6/1/2019,Radiology,6
90720,6/1/2019,Emergency Medicine,7
90720,6/1/2019,Obstetrics and Gynecology,8
90720,6/1/2019,Cardiology,12
90720,6/1/2019,Orthopedic Surgery,12
90720,6/1/2019,Ophthalmology,3
90720,6/1/2019,Pathology,4
90720,6/1/2019,General Surgery,8
90720,6/1/2019,Dermatology,7
90720,6/1/2019,Gastroenterology,5
90720,6/1/2019,General Practice,3
90720,6/1/2019,Neurology,2
90720,6/1/2019,Oncology,6
90720,6/1/2019,Otolaryngology,3
90720,6/1/2019,Urology,4
90720,6/1/2019,Plastic Surgery,2
90720,6/1/2019,Nephrology,5
90720,6/1/2019,Pulmonary,2
90720,6/1/2019,Physical Medicine and Rehabilitation,1
90720,6/1/2019,Infectious Disease,5
90720,6/1/2019,Endocrinology,3
90720,6/1/2019,All Other Specialties,20
90720,6/1/2019,No Response,30
90721,6/1/2019,Internal Medicine,0
90721,6/1/2019,Family Medicine,0
90721,6/1/2019,Pediatrics,1
90721,6/1/2019,Psychiatry,0
90721,6/1/2019,Anesthesiology,0
90721,6/1/2019,Radiology,0
90721,6/1/2019,Emergency Medicine,0
90721,6/1/2019,Obstetrics and Gynecology,0
90721,6/1/2019,Cardiology,0
90721,6/1/2019,Orthopedic Surgery,0
90721,6/1/2019,Ophthalmology,0
90721,6/1/2019,Pathology,0
90721,6/1/2019,General Surgery,0
90721,6/1/2019,Dermatology,1
90721,6/1/2019,Gastroenterology,0
90721,6/1/2019,General Practice,0
90721,6/1/2019,Neurology,0
90721,6/1/2019,Oncology,0
90721,6/1/2019,Otolaryngology,0
90721,6/1/2019,Urology,0
90721,6/1/2019,Plastic Surgery,0
90721,6/1/2019,Nephrology,0
90721,6/1/2019,Pulmonary,0
90721,6/1/2019,Physical Medicine and Rehabilitation,0
90721,6/1/2019,Infectious Disease,1
90721,6/1/2019,Endocrinology,0
90721,6/1/2019,All Other Specialties,1
90721,6/1/2019,No Response,0
90723,6/1/2019,Internal Medicine,4
90723,6/1/2019,Family Medicine,5
90723,6/1/2019,Pediatrics,5
90723,6/1/2019,Psychiatry,2
90723,6/1/2019,Anesthesiology,0
90723,6/1/2019,Radiology,0
90723,6/1/2019,Emergency Medicine,1
90723,6/1/2019,Obstetrics and Gynecology,2
90723,6/1/2019,Cardiology,0
90723,6/1/2019,Orthopedic Surgery,0
90723,6/1/2019,Ophthalmology,1
90723,6/1/2019,Pathology,0
90723,6/1/2019,General Surgery,1
90723,6/1/2019,Dermatology,0
90723,6/1/2019,Gastroenterology,2
90723,6/1/2019,General Practice,3
90723,6/1/2019,Neurology,0
90723,6/1/2019,Oncology,0
90723,6/1/2019,Otolaryngology,0
90723,6/1/2019,Urology,0
90723,6/1/2019,Plastic Surgery,0
90723,6/1/2019,Nephrology,1
90723,6/1/2019,Pulmonary,0
90723,6/1/2019,Physical Medicine and Rehabilitation,0
90723,6/1/2019,Infectious Disease,1
90723,6/1/2019,Endocrinology,0
90723,6/1/2019,All Other Specialties,2
90723,6/1/2019,No Response,8
90731,6/1/2019,Internal Medicine,5
90731,6/1/2019,Family Medicine,5
90731,6/1/2019,Pediatrics,7
90731,6/1/2019,Psychiatry,9
90731,6/1/2019,Anesthesiology,0
90731,6/1/2019,Radiology,0
90731,6/1/2019,Emergency Medicine,0
90731,6/1/2019,Obstetrics and Gynecology,0
90731,6/1/2019,Cardiology,2
90731,6/1/2019,Orthopedic Surgery,0
90731,6/1/2019,Ophthalmology,1
90731,6/1/2019,Pathology,0
90731,6/1/2019,General Surgery,0
90731,6/1/2019,Dermatology,0
90731,6/1/2019,Gastroenterology,1
90731,6/1/2019,General Practice,3
90731,6/1/2019,Neurology,1
90731,6/1/2019,Oncology,0
90731,6/1/2019,Otolaryngology,2
90731,6/1/2019,Urology,0
90731,6/1/2019,Plastic Surgery,0
90731,6/1/2019,Nephrology,1
90731,6/1/2019,Pulmonary,0
90731,6/1/2019,Physical Medicine and Rehabilitation,1
90731,6/1/2019,Infectious Disease,0
90731,6/1/2019,Endocrinology,1
90731,6/1/2019,All Other Specialties,7
90731,6/1/2019,No Response,3
90732,6/1/2019,Internal Medicine,11
90732,6/1/2019,Family Medicine,7
90732,6/1/2019,Pediatrics,1
90732,6/1/2019,Psychiatry,1
90732,6/1/2019,Anesthesiology,0
90732,6/1/2019,Radiology,3
90732,6/1/2019,Emergency Medicine,4
90732,6/1/2019,Obstetrics and Gynecology,4
90732,6/1/2019,Cardiology,2
90732,6/1/2019,Orthopedic Surgery,6
90732,6/1/2019,Ophthalmology,2
90732,6/1/2019,Pathology,0
90732,6/1/2019,General Surgery,3
90732,6/1/2019,Dermatology,2
90732,6/1/2019,Gastroenterology,0
90732,6/1/2019,General Practice,2
90732,6/1/2019,Neurology,1
90732,6/1/2019,Oncology,1
90732,6/1/2019,Otolaryngology,0
90732,6/1/2019,Urology,2
90732,6/1/2019,Plastic Surgery,0
90732,6/1/2019,Nephrology,0
90732,6/1/2019,Pulmonary,0
90732,6/1/2019,Physical Medicine and Rehabilitation,0
90732,6/1/2019,Infectious Disease,0
90732,6/1/2019,Endocrinology,2
90732,6/1/2019,All Other Specialties,3
90732,6/1/2019,No Response,15
90733,6/1/2019,Internal Medicine,0
90733,6/1/2019,Family Medicine,1
90733,6/1/2019,Pediatrics,0
90733,6/1/2019,Psychiatry,0
90733,6/1/2019,Anesthesiology,0
90733,6/1/2019,Radiology,0
90733,6/1/2019,Emergency Medicine,0
90733,6/1/2019,Obstetrics and Gynecology,0
90733,6/1/2019,Cardiology,0
90733,6/1/2019,Orthopedic Surgery,0
90733,6/1/2019,Ophthalmology,0
90733,6/1/2019,Pathology,0
90733,6/1/2019,General Surgery,0
90733,6/1/2019,Dermatology,0
90733,6/1/2019,Gastroenterology,1
90733,6/1/2019,General Practice,0
90733,6/1/2019,Neurology,0
90733,6/1/2019,Oncology,0
90733,6/1/2019,Otolaryngology,0
90733,6/1/2019,Urology,0
90733,6/1/2019,Plastic Surgery,0
90733,6/1/2019,Nephrology,0
90733,6/1/2019,Pulmonary,0
90733,6/1/2019,Physical Medicine and Rehabilitation,0
90733,6/1/2019,Infectious Disease,0
90733,6/1/2019,Endocrinology,0
90733,6/1/2019,All Other Specialties,0
90733,6/1/2019,No Response,0
90734,6/1/2019,Internal Medicine,0
90734,6/1/2019,Family Medicine,0
90734,6/1/2019,Pediatrics,0
90734,6/1/2019,Psychiatry,1
90734,6/1/2019,Anesthesiology,1
90734,6/1/2019,Radiology,1
90734,6/1/2019,Emergency Medicine,0
90734,6/1/2019,Obstetrics and Gynecology,0
90734,6/1/2019,Cardiology,0
90734,6/1/2019,Orthopedic Surgery,0
90734,6/1/2019,Ophthalmology,0
90734,6/1/2019,Pathology,0
90734,6/1/2019,General Surgery,0
90734,6/1/2019,Dermatology,0
90734,6/1/2019,Gastroenterology,0
90734,6/1/2019,General Practice,0
90734,6/1/2019,Neurology,0
90734,6/1/2019,Oncology,0
90734,6/1/2019,Otolaryngology,0
90734,6/1/2019,Urology,0
90734,6/1/2019,Plastic Surgery,0
90734,6/1/2019,Nephrology,0
90734,6/1/2019,Pulmonary,0
90734,6/1/2019,Physical Medicine and Rehabilitation,0
90734,6/1/2019,Infectious Disease,0
90734,6/1/2019,Endocrinology,0
90734,6/1/2019,All Other Specialties,0
90734,6/1/2019,No Response,1
90740,6/1/2019,Internal Medicine,9
90740,6/1/2019,Family Medicine,11
90740,6/1/2019,Pediatrics,5
90740,6/1/2019,Psychiatry,10
90740,6/1/2019,Anesthesiology,1
90740,6/1/2019,Radiology,3
90740,6/1/2019,Emergency Medicine,5
90740,6/1/2019,Obstetrics and Gynecology,3
90740,6/1/2019,Cardiology,1
90740,6/1/2019,Orthopedic Surgery,3
90740,6/1/2019,Ophthalmology,1
90740,6/1/2019,Pathology,3
90740,6/1/2019,General Surgery,0
90740,6/1/2019,Dermatology,1
90740,6/1/2019,Gastroenterology,2
90740,6/1/2019,General Practice,4
90740,6/1/2019,Neurology,0
90740,6/1/2019,Oncology,0
90740,6/1/2019,Otolaryngology,0
90740,6/1/2019,Urology,1
90740,6/1/2019,Plastic Surgery,0
90740,6/1/2019,Nephrology,0
90740,6/1/2019,Pulmonary,0
90740,6/1/2019,Physical Medicine and Rehabilitation,3
90740,6/1/2019,Infectious Disease,0
90740,6/1/2019,Endocrinology,0
90740,6/1/2019,All Other Specialties,10
90740,6/1/2019,No Response,14
90742,6/1/2019,Internal Medicine,2
90742,6/1/2019,Family Medicine,0
90742,6/1/2019,Pediatrics,1
90742,6/1/2019,Psychiatry,2
90742,6/1/2019,Anesthesiology,0
90742,6/1/2019,Radiology,0
90742,6/1/2019,Emergency Medicine,0
90742,6/1/2019,Obstetrics and Gynecology,0
90742,6/1/2019,Cardiology,1
90742,6/1/2019,Orthopedic Surgery,0
90742,6/1/2019,Ophthalmology,0
90742,6/1/2019,Pathology,0
90742,6/1/2019,General Surgery,1
90742,6/1/2019,Dermatology,0
90742,6/1/2019,Gastroenterology,1
90742,6/1/2019,General Practice,0
90742,6/1/2019,Neurology,0
90742,6/1/2019,Oncology,0
90742,6/1/2019,Otolaryngology,0
90742,6/1/2019,Urology,0
90742,6/1/2019,Plastic Surgery,0
90742,6/1/2019,Nephrology,0
90742,6/1/2019,Pulmonary,0
90742,6/1/2019,Physical Medicine and Rehabilitation,0
90742,6/1/2019,Infectious Disease,0
90742,6/1/2019,Endocrinology,0
90742,6/1/2019,All Other Specialties,0
90742,6/1/2019,No Response,1
90743,6/1/2019,Internal Medicine,0
90743,6/1/2019,Family Medicine,0
90743,6/1/2019,Pediatrics,0
90743,6/1/2019,Psychiatry,0
90743,6/1/2019,Anesthesiology,1
90743,6/1/2019,Radiology,0
90743,6/1/2019,Emergency Medicine,0
90743,6/1/2019,Obstetrics and Gynecology,0
90743,6/1/2019,Cardiology,1
90743,6/1/2019,Orthopedic Surgery,0
90743,6/1/2019,Ophthalmology,0
90743,6/1/2019,Pathology,0
90743,6/1/2019,General Surgery,0
90743,6/1/2019,Dermatology,0
90743,6/1/2019,Gastroenterology,0
90743,6/1/2019,General Practice,0
90743,6/1/2019,Neurology,0
90743,6/1/2019,Oncology,0
90743,6/1/2019,Otolaryngology,0
90743,6/1/2019,Urology,0
90743,6/1/2019,Plastic Surgery,0
90743,6/1/2019,Nephrology,0
90743,6/1/2019,Pulmonary,0
90743,6/1/2019,Physical Medicine and Rehabilitation,0
90743,6/1/2019,Infectious Disease,0
90743,6/1/2019,Endocrinology,0
90743,6/1/2019,All Other Specialties,0
90743,6/1/2019,No Response,2
90744,6/1/2019,Internal Medicine,0
90744,6/1/2019,Family Medicine,2
90744,6/1/2019,Pediatrics,3
90744,6/1/2019,Psychiatry,0
90744,6/1/2019,Anesthesiology,0
